	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
28855	полаять	NEUT	-0.22	0.093	0.237	0.517	0.153	0.0	0.407	0.605	-0.198
28856	полаяться	NGTV	-0.98	0.077	0.577	0.154	0.192	0.0	0.464	0.667	-0.203
28857	полбеды	NGTV	-0.41	0.187	0.351	0.365	0.097	0.18	0.41	0.508	-0.098
28858	полдень	NEUT	0.02	0.186	0.047	0.697	0.07	0.0	0.581	0.582	-0.001
28859	полдневный	NEUT	0.0	0.172	0.069	0.69	0.069	0.0	0.597	0.648	-0.051
28860	полдник	PSTV	0.57	0.444	0.051	0.36	0.145	0.0	0.59	0.561	0.029
28861	полдничать	NEUT	0.25	0.276	0.067	0.552	0.105	0.0	0.458	0.699	-0.241
28862	полеводство	NEUT	0.39	0.295	0.067	0.4	0.238	0.0	0.425	0.738	-0.313
28863	полевой	NEUT	0.1	0.216	0.027	0.649	0.108	0.0	0.51	0.594	-0.084
28864	полегонечку	NEUT	0.42	0.391	0.009	0.496	0.104	0.0	0.573	0.587	-0.014
28865	полегоньку	NEUT	0.28	0.31	0.03	0.57	0.09	0.0	0.623	0.553	0.07
28866	полегчать	PSTV	1.0	0.791	0.0	0.116	0.093	0.0	0.614	0.589	0.025
28867	полежать	NEUT	0.31	0.308	0.1	0.53	0.062	0.0	0.692	0.553	0.139
28868	полезащитный	NEUT	0.28	0.23	0.04	0.42	0.31	0.0	0.437	0.595	-0.158
28869	полезнейший	PSTV	1.0	0.813	0.021	0.103	0.063	0.0	0.484	0.611	-0.127
28870	полезность	PSTV	1.0	0.943	0.029	0.028	0.0	0.0	0.505	0.758	-0.253
28871	полезный	PSTV	1.0	0.923	0.019	0.039	0.019	0.0	0.543	0.532	0.011
28872	полезть	NEUT	0.0	0.109	0.109	0.596	0.186	0.0	0.416	0.676	-0.26
28873	полениться	NGTV	-0.8	0.04	0.6	0.26	0.1	0.0	0.271	0.702	-0.431
28874	поленница	NEUT	0.08	0.182	0.061	0.575	0.182	0.0	0.566	0.52	0.046
28875	полено	NEUT	0.08	0.2	0.029	0.628	0.143	0.0	0.541	0.563	-0.022
28876	поленце	NEUT	0.1	0.2	0.0	0.6	0.2	0.0	0.621	0.602	0.019
28877	полесье	NEUT	0.16	0.188	0.042	0.478	0.292	0.0	0.624	0.623	0.001
28878	полетать	NEUT	0.52	0.44	0.06	0.414	0.086	0.0	0.731	0.498	0.233
28879	полететь	NEUT	0.09	0.236	0.018	0.728	0.018	0.0	0.689	0.531	0.158
