	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
0	абажур	NEUT	0.08	0.185	0.037	0.58	0.198	0.0	0.668	0.566	0.102
1	аббатство	NEUT	0.1	0.192	0.038	0.578	0.192	0.0	0.688	0.504	0.184
2	аббревиатура	NEUT	0.08	0.196	0.0	0.63	0.174	0.0	0.469	0.657	-0.188
3	абзац	NEUT	0.0	0.137	0.0	0.706	0.157	0.0	0.384	0.682	-0.298
4	абиссинец	NEUT	0.28	0.151	0.113	0.245	0.491	0.19	0.557	0.722	-0.165
5	абитуриент	NEUT	0.23	0.235	0.049	0.5	0.216	0.0	0.415	0.68	-0.265
6	абитуриентка	NEUT	0.34	0.294	0.029	0.461	0.216	0.0	0.566	0.487	0.079
7	абонемент	NEUT	0.18	0.232	0.056	0.56	0.152	0.0	0.597	0.659	-0.062
8	абонементный	NEUT	0.19	0.21	0.07	0.5	0.22	0.0	0.552	0.528	0.024
9	абонент	NEUT	0.0	0.075	0.075	0.675	0.175	0.0	0.372	0.612	-0.24
10	абонентный	NEUT	0.0	0.073	0.0	0.61	0.317	0.0	0.391	0.581	-0.19
11	абонентский	NEUT	0.0	0.071	0.0	0.822	0.107	0.0	0.361	0.604	-0.243
12	абордаж	NGTV	-0.45	0.07	0.33	0.38	0.22	0.0	0.465	0.74	-0.275
13	абордажный	NEUT	-0.19	0.137	0.171	0.384	0.308	0.11	0.486	0.697	-0.211
14	абориген	NEUT	-0.02	0.063	0.167	0.624	0.146	0.0	0.475	0.657	-0.182
15	аборигенка	NEUT	0.02	0.144	0.106	0.538	0.212	0.0	0.615	0.46	0.155
16	аборигенный	NEUT	-0.08	0.079	0.167	0.526	0.228	0.0	0.471	0.546	-0.075
17	аборт	NGTV	-0.68	0.067	0.515	0.314	0.104	0.0	0.631	0.519	0.112
18	абразив	NEUT	0.0	0.067	0.067	0.466	0.4	0.0	0.388	0.67	-0.282
19	абракадабра	NEUT	-0.17	0.194	0.208	0.48	0.118	0.17	0.505	0.713	-0.208
20	абрикос	PSTV	0.57	0.5	0.038	0.405	0.057	0.0	0.652	0.637	0.015
21	абрикосовый	NEUT	0.51	0.435	0.035	0.426	0.104	0.0	0.664	0.54	0.124
22	абсолют	NEUT	0.45	0.353	0.06	0.415	0.172	0.0	0.443	0.627	-0.184
23	абсолютизировать	NEUT	0.19	0.186	0.138	0.419	0.257	0.08	0.431	0.636	-0.205
24	абсолютизм	NEUT	0.24	0.225	0.171	0.415	0.189	0.16	0.449	0.655	-0.206
25	абсолютность	NEUT	0.41	0.375	0.045	0.482	0.098	0.0	0.424	0.717	-0.293
26	абсолютный	NEUT	0.32	0.309	0.04	0.51	0.141	0.0	0.538	0.674	-0.136
27	абсорбировать	NEUT	0.24	0.252	0.068	0.525	0.155	0.0	0.474	0.664	-0.19
28	абстрагирование	NEUT	0.0	0.065	0.032	0.742	0.161	0.0	0.396	0.624	-0.228
29	абстрагировать	NEUT	0.05	0.157	0.118	0.539	0.186	0.0	0.367	0.569	-0.202
30	абстрагироваться	NEUT	0.06	0.156	0.063	0.531	0.25	0.0	0.451	0.59	-0.139
31	абстрактность	NEUT	0.0	0.159	0.0	0.636	0.205	0.0	0.533	0.657	-0.124
32	абстрактный	NEUT	0.0	0.143	0.048	0.69	0.119	0.0	0.451	0.55	-0.099
33	абстракционизм	NEUT	0.05	0.17	0.09	0.58	0.16	0.0	0.517	0.611	-0.094
34	абстракционист	NEUT	0.13	0.19	0.07	0.53	0.21	0.0	0.558	0.69	-0.132
35	абстракция	NEUT	0.09	0.189	0.057	0.584	0.17	0.0	0.492	0.568	-0.076
36	абсурд	NGTV	-0.95	0.057	0.686	0.2	0.057	0.0	0.484	0.569	-0.085
37	абсурдность	NGTV	-1.0	0.042	0.771	0.166	0.021	0.0	0.544	0.715	-0.171
38	абсурдный	NGTV	-0.9	0.071	0.671	0.223	0.035	0.0	0.483	0.616	-0.133
39	абсцесс	NGTV	-0.65	0.105	0.333	0.194	0.368	0.06	0.608	0.622	-0.014
40	абхаз	NEUT	0.16	0.19	0.04	0.49	0.28	0.0	0.405	0.638	-0.233
41	абхазы	NEUT	0.11	0.186	0.059	0.549	0.206	0.0	0.444	0.53	-0.086
42	авангард	NEUT	0.52	0.368	0.056	0.352	0.224	0.0	0.393	0.653	-0.26
43	авангардизм	NEUT	0.05	0.16	0.04	0.56	0.24	0.0	0.477	0.682	-0.205
44	авангардный	NEUT	0.5	0.339	0.092	0.33	0.239	0.01	0.364	0.67	-0.306
45	аванс	NEUT	0.53	0.433	0.067	0.4	0.1	0.0	0.513	0.747	-0.234
46	авансовый	NEUT	0.41	0.324	0.069	0.421	0.186	0.0	0.451	0.695	-0.244
47	авантюра	NGTV	-0.58	0.184	0.426	0.265	0.125	0.16	0.487	0.59	-0.103
48	авантюризм	NGTV	-0.37	0.196	0.304	0.341	0.159	0.23	0.555	0.612	-0.057
49	авантюрист	NGTV	-0.37	0.221	0.293	0.307	0.179	0.32	0.423	0.68	-0.257
50	авантюристический	NEUT	0.38	0.288	0.223	0.28	0.209	0.36	0.446	0.567	-0.121
51	авантюристка	NGTV	-0.49	0.193	0.378	0.288	0.141	0.21	0.677	0.386	0.291
52	авантюристский	NGTV	-0.36	0.218	0.293	0.316	0.173	0.31	0.443	0.545	-0.102
53	авантюрность	NEUT	0.33	0.243	0.187	0.308	0.262	0.28	0.55	0.636	-0.086
54	авантюрный	NEUT	0.4	0.319	0.245	0.27	0.166	0.38	0.486	0.528	-0.042
55	аварийка	NEUT	-0.2	0.171	0.225	0.488	0.116	0.1	0.443	0.684	-0.241
56	аварийность	NGTV	-0.71	0.04	0.535	0.296	0.129	0.0	0.419	0.807	-0.388
57	аварийный	NGTV	-0.98	0.088	0.626	0.165	0.121	0.0	0.441	0.719	-0.278
58	аварийщик	NEUT	0.26	0.244	0.154	0.448	0.154	0.09	0.422	0.721	-0.299
59	авария	NGTV	-1.0	0.058	0.846	0.058	0.038	0.0	0.538	0.672	-0.134
60	аватарка	NEUT	0.2	0.233	0.075	0.534	0.158	0.0	0.389	0.556	-0.167
61	август	NEUT	0.19	0.273	0.015	0.636	0.076	0.0	0.635	0.652	-0.017
62	августовский	NEUT	0.15	0.216	0.048	0.568	0.168	0.0	0.619	0.583	0.036
63	авеню	NEUT	0.0	0.143	0.036	0.714	0.107	0.0	0.547	0.588	-0.041
64	авиабаза	NEUT	0.0	0.114	0.029	0.686	0.171	0.0	0.572	0.588	-0.016
65	авиабензин	NEUT	0.0	0.091	0.055	0.599	0.255	0.0	0.444	0.719	-0.275
66	авиабилет	NEUT	0.07	0.204	0.037	0.666	0.093	0.0	0.645	0.632	0.013
67	авиабомба	NGTV	-1.0	0.086	0.69	0.138	0.086	0.0	0.545	0.721	-0.176
68	авиабригада	NEUT	0.21	0.217	0.038	0.49	0.255	0.0	0.509	0.732	-0.223
69	авиагородок	NEUT	0.24	0.246	0.049	0.5	0.205	0.0	0.553	0.616	-0.063
70	авиадесантный	NEUT	0.19	0.206	0.059	0.49	0.245	0.0	0.427	0.646	-0.219
71	авиадивизия	NEUT	0.36	0.25	0.063	0.374	0.313	0.0	0.482	0.732	-0.25
72	авиадиспетчер	NEUT	0.28	0.305	0.038	0.562	0.095	0.0	0.449	0.67	-0.221
73	авиазавод	NEUT	0.27	0.275	0.029	0.529	0.167	0.0	0.52	0.716	-0.196
74	авиакасса	NEUT	0.11	0.204	0.027	0.592	0.177	0.0	0.374	0.662	-0.288
75	авиакатастрофа	NGTV	-1.0	0.043	0.826	0.131	0.0	0.0	0.438	0.653	-0.215
76	авиаклуб	NEUT	0.3	0.287	0.03	0.505	0.178	0.0	0.554	0.616	-0.062
77	авиакомпания	NEUT	0.33	0.333	0.075	0.534	0.058	0.0	0.563	0.673	-0.11
78	авиаконструктор	NEUT	0.43	0.388	0.031	0.472	0.109	0.0	0.333	0.764	-0.431
79	авиакорпус	NEUT	0.0	0.096	0.058	0.75	0.096	0.0	0.591	0.671	-0.08
80	авиакрыло	NEUT	0.0	0.111	0.0	0.685	0.204	0.0	0.546	0.729	-0.183
81	авиалайнер	NEUT	0.37	0.32	0.019	0.467	0.194	0.0	0.585	0.628	-0.043
82	авиалиния	NEUT	0.0	0.13	0.0	0.696	0.174	0.0	0.629	0.608	0.021
83	авиамеханик	NEUT	0.25	0.288	0.038	0.578	0.096	0.0	0.295	0.667	-0.372
84	авиамодельный	NEUT	0.09	0.183	0.012	0.573	0.232	0.0	0.43	0.602	-0.172
85	авиамоторный	NEUT	0.0	0.103	0.0	0.656	0.241	0.0	0.551	0.664	-0.113
86	авианаводчик	NEUT	0.16	0.205	0.094	0.528	0.173	0.0	0.326	0.784	-0.458
87	авианалёт	NGTV	-0.76	0.04	0.504	0.248	0.208	0.0	0.656	0.687	-0.031
88	авианосец	NEUT	0.33	0.267	0.099	0.436	0.198	0.0	0.584	0.591	-0.007
89	авиаотряд	NEUT	0.24	0.261	0.045	0.532	0.162	0.0	0.499	0.711	-0.212
90	авиапарк	NEUT	0.33	0.297	0.055	0.484	0.164	0.0	0.465	0.643	-0.178
91	авиаперелёт	NEUT	0.03	0.182	0.026	0.675	0.117	0.0	0.765	0.585	0.18
92	авиапочта	NEUT	0.25	0.25	0.045	0.5	0.205	0.0	0.523	0.619	-0.096
93	авиапромышленность	NEUT	0.29	0.308	0.01	0.557	0.125	0.0	0.422	0.731	-0.309
94	авиаразведка	NEUT	0.03	0.175	0.025	0.65	0.15	0.0	0.386	0.696	-0.31
95	авиарейс	NEUT	0.14	0.239	0.0	0.652	0.109	0.0	0.691	0.584	0.107
96	авиасалон	NEUT	0.24	0.271	0.042	0.56	0.127	0.0	0.631	0.532	0.099
97	авиасоединение	NEUT	0.26	0.282	0.049	0.543	0.126	0.0	0.514	0.707	-0.193
98	авиастроение	NEUT	0.38	0.349	0.018	0.486	0.147	0.0	0.45	0.716	-0.266
99	авиастроительный	NEUT	0.17	0.243	0.049	0.611	0.097	0.0	0.422	0.714	-0.292
100	авиатехник	NEUT	0.22	0.265	0.039	0.569	0.127	0.0	0.354	0.693	-0.339
101	авиатор	NEUT	0.18	0.219	0.067	0.533	0.181	0.0	0.422	0.746	-0.324
102	авиаторский	NEUT	0.21	0.286	0.0	0.643	0.071	0.0	0.439	0.638	-0.199
103	авиатранспорт	NEUT	0.31	0.336	0.016	0.576	0.072	0.0	0.526	0.645	-0.119
104	авиаудар	NGTV	-0.74	0.097	0.496	0.257	0.15	0.0	0.633	0.666	-0.033
105	авиационный	NEUT	0.0	0.159	0.023	0.727	0.091	0.0	0.537	0.634	-0.097
106	авиация	NEUT	0.32	0.298	0.088	0.491	0.123	0.0	0.528	0.614	-0.086
107	авиачасть	NEUT	0.22	0.248	0.04	0.534	0.178	0.0	0.446	0.669	-0.223
108	авиашкола	NEUT	0.29	0.304	0.078	0.54	0.078	0.0	0.586	0.617	-0.031
109	авитаминоз	NGTV	-1.0	0.065	0.613	0.128	0.194	0.0	0.521	0.625	-0.104
110	авитаминозный	NGTV	-0.91	0.081	0.535	0.175	0.209	0.0	0.621	0.631	-0.01
111	авокадо	NEUT	0.44	0.384	0.045	0.464	0.107	0.0	0.634	0.532	0.102
112	авоська	NEUT	0.0	0.091	0.121	0.606	0.182	0.0	0.548	0.498	0.05
113	аврора	NEUT	0.48	0.361	0.034	0.387	0.218	0.0	0.415	0.636	-0.221
114	австралиец	NEUT	0.09	0.216	0.018	0.658	0.108	0.0	0.509	0.697	-0.188
115	австралийка	NEUT	0.01	0.149	0.064	0.574	0.213	0.0	0.626	0.533	0.093
116	австралийский	NEUT	0.01	0.19	0.024	0.738	0.048	0.0	0.51	0.653	-0.143
117	австралопитек	NEUT	0.26	0.239	0.027	0.462	0.272	0.0	0.512	0.598	-0.086
118	австриец	NEUT	0.04	0.2	0.0	0.72	0.08	0.0	0.55	0.672	-0.122
119	австрийка	NEUT	0.0	0.086	0.052	0.707	0.155	0.0	0.6	0.571	0.029
120	австрийский	NEUT	0.1	0.209	0.047	0.628	0.116	0.0	0.448	0.648	-0.2
121	австро-венгерский	NEUT	0.08	0.172	0.034	0.553	0.241	0.0	0.412	0.683	-0.271
122	авто	NEUT	0.08	0.197	0.033	0.622	0.148	0.0	0.454	0.641	-0.187
123	автобаза	NEUT	0.22	0.269	0.038	0.578	0.115	0.0	0.471	0.647	-0.176
124	автобан	NEUT	-0.16	0.19	0.19	0.45	0.17	0.19	0.527	0.58	-0.053
125	автобиографический	NEUT	0.1	0.222	0.037	0.667	0.074	0.0	0.495	0.615	-0.12
126	автобиографичность	NEUT	0.08	0.184	0.026	0.579	0.211	0.0	0.51	0.72	-0.21
127	автобиография	NEUT	0.24	0.285	0.046	0.592	0.077	0.0	0.435	0.682	-0.247
128	автобус	NEUT	0.18	0.259	0.048	0.627	0.066	0.0	0.569	0.567	0.002
129	автобусик	PSTV	0.8	0.545	0.071	0.241	0.143	0.0	0.636	0.627	0.009
130	автобусный	NEUT	0.0	0.115	0.038	0.712	0.135	0.0	0.5	0.596	-0.096
131	автовладелец	NEUT	0.38	0.375	0.054	0.526	0.045	0.0	0.347	0.695	-0.348
132	автовокзал	NEUT	0.03	0.191	0.043	0.702	0.064	0.0	0.453	0.565	-0.112
133	автогонка	NEUT	0.08	0.188	0.063	0.603	0.146	0.0	0.442	0.61	-0.168
134	автогонки	NEUT	0.35	0.313	0.078	0.484	0.125	0.0	0.394	0.557	-0.163
135	автогонщик	NEUT	0.0	0.029	0.059	0.794	0.118	0.0	0.419	0.639	-0.22
136	автограф	NEUT	0.42	0.407	0.044	0.514	0.035	0.0	0.628	0.598	0.03
137	автодорога	NEUT	0.0	0.156	0.022	0.666	0.156	0.0	0.461	0.622	-0.161
138	автодорожный	NEUT	0.0	0.119	0.0	0.738	0.143	0.0	0.386	0.614	-0.228
139	автодром	NEUT	0.23	0.254	0.057	0.541	0.148	0.0	0.602	0.523	0.079
140	автозавод	NEUT	0.13	0.238	0.024	0.667	0.071	0.0	0.372	0.767	-0.395
141	автозак	NGTV	-0.55	0.078	0.353	0.304	0.265	0.0	0.434	0.672	-0.238
142	автозаправка	NEUT	0.02	0.178	0.022	0.667	0.133	0.0	0.37	0.69	-0.32
143	автозаправочный	NEUT	0.0	0.116	0.047	0.697	0.14	0.0	0.289	0.652	-0.363
144	автоинспектор	NEUT	0.17	0.22	0.09	0.55	0.14	0.0	0.287	0.667	-0.38
145	автоинспекция	NEUT	0.18	0.212	0.096	0.509	0.183	0.0	0.364	0.719	-0.355
146	автокатастрофа	NGTV	-1.0	0.06	0.761	0.104	0.075	0.0	0.519	0.627	-0.108
147	автоклуб	NEUT	0.16	0.237	0.068	0.61	0.085	0.0	0.454	0.632	-0.178
148	автоколонна	NEUT	0.0	0.1	0.06	0.68	0.16	0.0	0.55	0.623	-0.073
149	автокран	NEUT	0.1	0.205	0.077	0.615	0.103	0.0	0.549	0.632	-0.083
150	автокресло	NEUT	0.38	0.364	0.015	0.507	0.114	0.0	0.58	0.548	0.032
151	автолавка	NEUT	0.2	0.248	0.059	0.564	0.129	0.0	0.588	0.576	0.012
152	автоледи	NEUT	0.25	0.222	0.145	0.419	0.214	0.09	0.596	0.559	0.037
153	автолюбитель	NEUT	0.4	0.366	0.065	0.484	0.085	0.0	0.279	0.663	-0.384
154	автомагазин	NEUT	0.21	0.28	0.025	0.627	0.068	0.0	0.348	0.705	-0.357
155	автомагистраль	NEUT	0.0	0.128	0.0	0.718	0.154	0.0	0.501	0.591	-0.09
156	автомагнитола	NEUT	0.16	0.212	0.018	0.54	0.23	0.0	0.308	0.612	-0.304
157	автомастерская	NEUT	0.04	0.18	0.04	0.64	0.14	0.0	0.402	0.701	-0.299
158	автомат	NEUT	-0.2	0.137	0.232	0.53	0.101	0.01	0.454	0.581	-0.127
159	автоматизация	NEUT	0.47	0.402	0.018	0.437	0.143	0.0	0.303	0.641	-0.338
160	автоматизировать	NEUT	0.4	0.339	0.054	0.455	0.152	0.0	0.368	0.648	-0.28
161	автоматизм	NEUT	0.08	0.194	0.0	0.612	0.194	0.0	0.455	0.682	-0.227
162	автоматика	NEUT	0.47	0.37	0.05	0.4	0.18	0.0	0.372	0.585	-0.213
163	автоматически	NEUT	0.0	0.125	0.042	0.791	0.042	0.0	0.387	0.585	-0.198
164	автоматический	NEUT	0.0	0.176	0.0	0.765	0.059	0.0	0.478	0.548	-0.07
165	автоматный	NEUT	0.1	0.162	0.128	0.488	0.222	0.02	0.441	0.615	-0.174
166	автоматчик	NEUT	-0.28	0.155	0.25	0.431	0.164	0.1	0.402	0.691	-0.289
167	автомашина	NEUT	0.27	0.31	0.034	0.594	0.062	0.0	0.477	0.682	-0.205
168	автомобилестроение	NEUT	0.39	0.358	0.024	0.496	0.122	0.0	0.333	0.723	-0.39
169	автомобилестроительный	NEUT	0.05	0.18	0.06	0.62	0.14	0.0	0.304	0.733	-0.429
170	автомобилизация	NEUT	0.08	0.2	0.0	0.633	0.167	0.0	0.377	0.665	-0.288
171	автомобилист	NEUT	0.0	0.169	0.028	0.718	0.085	0.0	0.379	0.637	-0.258
172	автомобиль	NEUT	0.31	0.329	0.051	0.557	0.063	0.0	0.502	0.66	-0.158
173	автомобильный	NEUT	0.1	0.227	0.027	0.679	0.067	0.0	0.374	0.622	-0.248
174	автомобильчик	NEUT	0.53	0.417	0.091	0.386	0.106	0.0	0.592	0.662	-0.07
175	автомойка	NEUT	0.13	0.231	0.031	0.646	0.092	0.0	0.404	0.643	-0.239
176	автомоторный	NEUT	0.1	0.174	0.043	0.522	0.261	0.0	0.376	0.601	-0.225
177	автономизация	NEUT	0.29	0.259	0.009	0.464	0.268	0.0	0.393	0.691	-0.298
178	автономия	NEUT	0.21	0.21	0.03	0.47	0.29	0.0	0.438	0.745	-0.307
179	автономность	NEUT	0.37	0.308	0.065	0.449	0.178	0.0	0.496	0.641	-0.145
180	автономный	NEUT	0.0	0.091	0.023	0.704	0.182	0.0	0.481	0.587	-0.106
181	автопарк	NEUT	0.2	0.246	0.053	0.569	0.132	0.0	0.392	0.628	-0.236
182	автопилот	NEUT	0.32	0.323	0.091	0.531	0.055	0.0	0.495	0.605	-0.11
183	автопогрузчик	NEUT	0.1	0.211	0.0	0.631	0.158	0.0	0.484	0.671	-0.187
184	автопоезд	NEUT	0.03	0.182	0.061	0.666	0.091	0.0	0.549	0.634	-0.085
185	автопортрет	NEUT	0.02	0.179	0.026	0.667	0.128	0.0	0.613	0.648	-0.035
186	автоприцеп	NEUT	0.0	0.132	0.066	0.703	0.099	0.0	0.44	0.683	-0.243
187	автопробег	NEUT	0.22	0.252	0.113	0.547	0.088	0.0	0.641	0.588	0.053
188	автопроизводитель	NEUT	0.32	0.33	0.018	0.554	0.098	0.0	0.425	0.743	-0.318
189	автопром	NEUT	0.0	0.031	0.094	0.594	0.281	0.0	0.281	0.79	-0.509
190	автор	NEUT	0.28	0.307	0.055	0.567	0.071	0.0	0.476	0.703	-0.227
191	авторемонтный	NEUT	0.19	0.24	0.038	0.568	0.154	0.0	0.313	0.687	-0.374
192	автореферат	NEUT	0.2	0.212	0.096	0.49	0.202	0.0	0.385	0.606	-0.221
193	авторизация	NEUT	0.05	0.2	0.033	0.7	0.067	0.0	0.314	0.696	-0.382
194	авторитаризм	NGTV	-0.57	0.133	0.314	0.201	0.352	0.15	0.394	0.688	-0.294
195	авторитарность	NGTV	-0.35	0.238	0.277	0.287	0.198	0.4	0.455	0.75	-0.295
196	авторитарный	NGTV	-0.39	0.233	0.282	0.233	0.252	0.44	0.374	0.69	-0.316
197	авторитет	PSTV	0.9	0.569	0.069	0.19	0.172	0.0	0.335	0.717	-0.382
198	авторитетность	PSTV	0.89	0.63	0.043	0.218	0.109	0.0	0.364	0.62	-0.256
199	авторитетный	PSTV	0.97	0.717	0.022	0.196	0.065	0.0	0.297	0.685	-0.388
200	авторский	NEUT	0.4	0.344	0.084	0.457	0.115	0.0	0.301	0.695	-0.394
201	авторство	PSTV	0.55	0.402	0.085	0.351	0.162	0.0	0.456	0.775	-0.319
202	авторучка	NEUT	0.21	0.271	0.047	0.598	0.084	0.0	0.461	0.637	-0.176
203	авторша	NEUT	0.34	0.252	0.117	0.379	0.252	0.05	0.483	0.645	-0.162
204	авторынок	NEUT	0.0	0.114	0.0	0.772	0.114	0.0	0.409	0.722	-0.313
205	автосалон	NEUT	0.0	0.136	0.045	0.66	0.159	0.0	0.424	0.631	-0.207
206	автосервис	NEUT	0.23	0.286	0.015	0.601	0.098	0.0	0.336	0.652	-0.316
207	автослесарь	NEUT	0.08	0.2	0.071	0.635	0.094	0.0	0.279	0.66	-0.381
208	автоспорт	NEUT	0.38	0.347	0.074	0.496	0.083	0.0	0.38	0.646	-0.266
209	автостанция	NEUT	0.14	0.218	0.05	0.581	0.151	0.0	0.548	0.574	-0.026
210	автостоп	NEUT	0.06	0.182	0.023	0.613	0.182	0.0	0.504	0.486	0.018
211	автостопщик	NEUT	0.1	0.161	0.097	0.484	0.258	0.0	0.45	0.635	-0.185
212	автострада	NEUT	0.0	0.148	0.037	0.63	0.185	0.0	0.557	0.596	-0.039
213	автотранспорт	NEUT	0.38	0.351	0.035	0.5	0.114	0.0	0.384	0.692	-0.308
214	автотранспортный	NEUT	0.05	0.186	0.047	0.651	0.116	0.0	0.332	0.667	-0.335
215	автотрасса	NEUT	0.0	0.129	0.032	0.613	0.226	0.0	0.493	0.595	-0.102
216	автоугон	NGTV	-1.0	0.085	0.681	0.085	0.149	0.0	0.493	0.729	-0.236
217	автоугонщик	NGTV	-1.0	0.043	0.851	0.085	0.021	0.0	0.4	0.701	-0.301
218	автофургон	NEUT	0.03	0.2	0.033	0.734	0.033	0.0	0.513	0.64	-0.127
219	автохозяйство	NEUT	0.23	0.238	0.076	0.505	0.181	0.0	0.308	0.719	-0.411
220	автоцентр	NEUT	0.04	0.171	0.073	0.61	0.146	0.0	0.491	0.573	-0.082
221	автоцистерна	NEUT	0.0	0.115	0.038	0.539	0.308	0.0	0.534	0.696	-0.162
222	автошкола	NEUT	0.3	0.347	0.017	0.611	0.025	0.0	0.351	0.566	-0.215
223	агар-агар	NEUT	0.0	0.1	0.05	0.4	0.45	0.0	0.597	0.602	-0.005
224	агатовый	NEUT	0.1	0.161	0.066	0.488	0.285	0.0	0.557	0.594	-0.037
225	агент	NEUT	0.12	0.216	0.081	0.622	0.081	0.0	0.455	0.616	-0.161
226	агентка	NEUT	0.16	0.2	0.117	0.508	0.175	0.0	0.464	0.531	-0.067
227	агентский	NEUT	0.0	0.053	0.132	0.631	0.184	0.0	0.327	0.563	-0.236
228	агентство	NEUT	0.07	0.189	0.081	0.622	0.108	0.0	0.476	0.652	-0.176
229	агентша	NEUT	0.04	0.148	0.122	0.53	0.2	0.0	0.573	0.476	0.097
230	агитационный	NEUT	0.39	0.333	0.222	0.334	0.111	0.28	0.351	0.629	-0.278
231	агитация	NEUT	-0.21	0.165	0.189	0.386	0.26	0.18	0.356	0.721	-0.365
232	агитбригада	NEUT	0.34	0.248	0.139	0.346	0.267	0.12	0.356	0.74	-0.384
233	агитировать	NEUT	0.22	0.22	0.212	0.415	0.153	0.25	0.382	0.71	-0.328
234	агнец	NEUT	0.49	0.32	0.136	0.272	0.272	0.13	0.47	0.688	-0.218
235	агония	NGTV	-1.0	0.058	0.596	0.115	0.231	0.0	0.461	0.773	-0.312
236	аграрный	NEUT	0.21	0.206	0.084	0.458	0.252	0.0	0.337	0.647	-0.31
237	агрегат	NEUT	0.09	0.211	0.0	0.657	0.132	0.0	0.497	0.689	-0.192
238	агрессивность	NGTV	-1.0	0.04	0.76	0.14	0.06	0.0	0.533	0.709	-0.176
239	агрессивный	NGTV	-1.0	0.02	0.88	0.1	0.0	0.0	0.471	0.631	-0.16
240	агрессия	NGTV	-1.0	0.07	0.772	0.105	0.053	0.0	0.504	0.625	-0.121
241	агрессор	NGTV	-0.92	0.0	0.679	0.214	0.107	0.0	0.383	0.662	-0.279
242	агрокультура	NEUT	0.3	0.261	0.109	0.454	0.176	0.0	0.384	0.713	-0.329
243	агроном	NEUT	0.33	0.325	0.04	0.524	0.111	0.0	0.327	0.689	-0.362
244	агрономический	NEUT	0.03	0.162	0.054	0.595	0.189	0.0	0.3	0.656	-0.356
245	агрономия	NEUT	0.43	0.36	0.05	0.44	0.15	0.0	0.352	0.632	-0.28
246	агротехнический	NEUT	0.0	0.115	0.038	0.655	0.192	0.0	0.305	0.644	-0.339
247	адаптационный	NEUT	0.44	0.368	0.074	0.44	0.118	0.0	0.581	0.533	0.048
248	адаптация	PSTV	0.59	0.478	0.037	0.373	0.112	0.0	0.532	0.575	-0.043
249	адаптер	NEUT	0.31	0.276	0.037	0.471	0.216	0.0	0.487	0.572	-0.085
250	адаптивность	PSTV	0.74	0.578	0.02	0.294	0.108	0.0	0.473	0.62	-0.147
251	адаптивный	PSTV	0.6	0.43	0.08	0.32	0.17	0.0	0.517	0.491	0.026
252	адаптированность	PSTV	0.9	0.636	0.061	0.212	0.091	0.0	0.491	0.633	-0.142
253	адаптировать	PSTV	0.73	0.577	0.019	0.308	0.096	0.0	0.446	0.488	-0.042
254	адвокат	NEUT	0.32	0.325	0.07	0.535	0.07	0.0	0.447	0.619	-0.172
255	адвокатский	NEUT	0.03	0.178	0.044	0.645	0.133	0.0	0.286	0.611	-0.325
256	адвокатура	NEUT	0.22	0.231	0.067	0.501	0.201	0.0	0.318	0.631	-0.313
257	адвокатша	NEUT	0.21	0.224	0.215	0.43	0.131	0.24	0.511	0.485	0.026
258	адекватность	PSTV	0.9	0.735	0.0	0.245	0.02	0.0	0.415	0.629	-0.214
259	адекватный	PSTV	1.0	0.755	0.057	0.15	0.038	0.0	0.364	0.698	-0.334
260	адепт	NEUT	0.22	0.196	0.069	0.421	0.314	0.0	0.566	0.632	-0.066
261	аджика	NEUT	0.31	0.264	0.124	0.438	0.174	0.03	0.529	0.533	-0.004
262	адидас	NEUT	0.08	0.182	0.121	0.576	0.121	0.0	0.468	0.638	-0.17
263	админ	NEUT	0.21	0.246	0.056	0.547	0.151	0.0	0.31	0.649	-0.339
264	административный	NEUT	0.06	0.205	0.045	0.682	0.068	0.0	0.3	0.628	-0.328
265	администратор	NEUT	0.24	0.268	0.045	0.544	0.143	0.0	0.43	0.636	-0.206
266	администраторский	NEUT	0.0	0.119	0.071	0.739	0.071	0.0	0.364	0.55	-0.186
267	администраторша	NEUT	0.17	0.208	0.142	0.508	0.142	0.03	0.603	0.51	0.093
268	администрация	NEUT	0.08	0.2	0.075	0.633	0.092	0.0	0.455	0.651	-0.196
269	администрирование	NEUT	0.29	0.28	0.02	0.5	0.2	0.0	0.329	0.657	-0.328
270	адмирал	NEUT	0.46	0.382	0.091	0.436	0.091	0.0	0.503	0.736	-0.233
271	адмиралтейский	NEUT	0.05	0.192	0.038	0.655	0.115	0.0	0.542	0.644	-0.102
272	адмиралтейство	NEUT	0.22	0.234	0.066	0.503	0.197	0.0	0.563	0.573	-0.01
273	адмиральский	NEUT	0.34	0.297	0.059	0.466	0.178	0.0	0.473	0.629	-0.156
274	адмиральша	NEUT	0.08	0.167	0.069	0.528	0.236	0.0	0.585	0.662	-0.077
275	адреналин	PSTV	0.57	0.453	0.068	0.368	0.111	0.0	0.529	0.638	-0.109
276	адреналиновый	NEUT	0.32	0.307	0.129	0.505	0.059	0.0	0.492	0.589	-0.097
277	адрес	NEUT	0.0	0.108	0.041	0.756	0.095	0.0	0.534	0.66	-0.126
278	адресант	NEUT	0.07	0.182	0.026	0.597	0.195	0.0	0.44	0.713	-0.273
279	адресат	NEUT	0.0	0.161	0.0	0.71	0.129	0.0	0.474	0.701	-0.227
280	адресация	NEUT	0.1	0.182	0.045	0.546	0.227	0.0	0.458	0.692	-0.234
