	term	tag	Female	Male	F - M
6580	гипнотизирование	NEUT	0.72	0.54	0.18
6581	гипнотизировать	NEUT	0.682	0.504	0.178
6582	гипнотизирующе	NEUT	0.755	0.421	0.334
6583	гипнотизм	NEUT	0.684	0.568	0.116
6586	гипнотический	NEUT	0.666	0.501	0.165
6595	гирлянда	NEUT	0.687	0.579	0.108
6615	гладильная	NEUT	0.667	0.478	0.189
6618	гладить	PSTV	0.716	0.526	0.19
6723	гнездо	NEUT	0.726	0.554	0.172
6726	гнездовье	NEUT	0.655	0.545	0.11
6752	гнёздышко	PSTV	0.69	0.54	0.15
6776	годовалый	NEUT	0.694	0.537	0.157
6822	голубенький	NEUT	0.713	0.587	0.126
6824	голубец	NEUT	0.717	0.569	0.148
6825	голубизна	NEUT	0.67	0.574	0.096
6826	голубика	PSTV	0.728	0.542	0.186
6832	голубушка	PSTV	0.659	0.503	0.156
6835	голубятня	NEUT	0.731	0.548	0.183
6858	гонщица	NEUT	0.666	0.479	0.187
6867	горбик	NEUT	0.709	0.58	0.129
6953	горсточка	NEUT	0.689	0.495	0.194
6963	горшок	NEUT	0.698	0.493	0.205
6964	горшочек	NEUT	0.697	0.52	0.177
7005	госпожа	NEUT	0.668	0.539	0.129
7018	гостиная	NEUT	0.657	0.542	0.115
7075	градусник	NEUT	0.662	0.394	0.268
7129	грезить	NEUT	0.709	0.56	0.149
7130	грезиться	NEUT	0.658	0.541	0.117
7133	грелка	NEUT	0.716	0.386	0.33
7138	греть	PSTV	0.745	0.455	0.29
7139	греться	PSTV	0.745	0.45	0.295
7187	гробик	NGTV	0.672	0.521	0.151
7249	грудка	NEUT	0.67	0.531	0.139
7283	грустить	NGTV	0.667	0.566	0.101
7338	гуляние	PSTV	0.656	0.56	0.096
7340	гулянье	NEUT	0.715	0.519	0.196
7341	гулять	NEUT	0.737	0.536	0.201
7432	дарительница	PSTV	0.675	0.487	0.188
7433	дарить	PSTV	0.76	0.549	0.211
7442	дарохранительница	PSTV	0.688	0.5	0.188
7511	дворец	NEUT	0.695	0.53	0.165
7571	двухлеток	NEUT	0.676	0.419	0.257
7632	девичник	PSTV	0.67	0.562	0.108
7647	девятиклассница	NEUT	0.656	0.45	0.206
7768	дельфинчик	PSTV	0.665	0.557	0.108
7769	дельфинёнок	PSTV	0.692	0.52	0.172
7842	деревцо	PSTV	0.715	0.61	0.105
7926	детишки	PSTV	0.651	0.557	0.094
7936	деточка	PSTV	0.659	0.502	0.157
7941	детская	NEUT	0.682	0.533	0.149
7948	детёныш	PSTV	0.682	0.557	0.125
7987	джакузи	PSTV	0.671	0.451	0.22
7990	джем	PSTV	0.655	0.545	0.11
7991	джемпер	NEUT	0.686	0.531	0.155
7992	джемперок	NEUT	0.719	0.46	0.259
8036	диван	NEUT	0.658	0.496	0.162
8037	диван-кровать	NEUT	0.739	0.399	0.34
8039	диванчик	PSTV	0.736	0.484	0.252
8065	дикарка	NGTV	0.669	0.34	0.329
8370	догрызать	NEUT	0.672	0.5	0.172
