	term	tag	Female	Male	F - M
16598	маленькие	NEUT	0.658	0.452	0.206
16605	малиновка	NEUT	0.688	0.571	0.117
16693	малышня	NEUT	0.688	0.579	0.109
16703	мальчишник	NEUT	0.701	0.595	0.106
16705	малюсенький	NEUT	0.712	0.536	0.176
16729	манго	NEUT	0.655	0.536	0.119
16733	мандаринский	NEUT	0.65	0.53	0.12
16749	маникюрша	NEUT	0.657	0.566	0.091
16798	мармелад	PSTV	0.732	0.479	0.253
16814	марципан	NEUT	0.691	0.578	0.113
16836	масленица	PSTV	0.689	0.566	0.123
16837	масленичный	NEUT	0.67	0.567	0.103
16853	массажистка	NEUT	0.687	0.44	0.247
16917	матрас	NEUT	0.696	0.474	0.222
16918	матрасик	PSTV	0.736	0.511	0.225
16920	матрац	NEUT	0.697	0.52	0.177
16969	маятник	NEUT	0.652	0.526	0.126
16970	маятниковый	NEUT	0.651	0.543	0.108
17003	медвежонок	PSTV	0.682	0.525	0.157
17029	медовуха	NEUT	0.7	0.599	0.101
17030	медовый	PSTV	0.684	0.542	0.142
17040	медсестричка	PSTV	0.722	0.528	0.194
17144	мельтешение	NGTV	0.676	0.571	0.105
17178	мерещиться	NEUT	0.662	0.489	0.173
17215	мерцать	NEUT	0.714	0.548	0.166
17312	метропоезд	NEUT	0.662	0.539	0.123
17337	мечтание	PSTV	0.718	0.595	0.123
17339	мечтательница	PSTV	0.82	0.276	0.544
17342	мечтать	PSTV	0.689	0.461	0.228
17365	мизантропка	NGTV	0.664	0.345	0.319
17381	микроклимат	NEUT	0.707	0.579	0.128
17383	микромир	NEUT	0.654	0.504	0.15
17413	миледи	PSTV	0.691	0.555	0.136
17427	миллиардерша	NEUT	0.661	0.5	0.161
17437	миллионерша	PSTV	0.661	0.447	0.214
17471	миндаль	NEUT	0.672	0.559	0.113
17483	мини-платье	NEUT	0.793	0.448	0.345
17485	мини-юбка	NEUT	0.674	0.516	0.158
17572	мишка	PSTV	0.689	0.553	0.136
17574	младенец	PSTV	0.655	0.522	0.133
17578	младенчик	PSTV	0.689	0.572	0.117
17628	многолетие	PSTV	0.705	0.608	0.097
17636	многолюдье	NEUT	0.691	0.563	0.128
17646	многоножка	NEUT	0.714	0.489	0.225
17730	модельерша	NEUT	0.651	0.517	0.134
17828	молочница	NGTV	0.656	0.505	0.151
17839	моль	NGTV	0.66	0.489	0.171
17943	мороженщица	NEUT	0.682	0.41	0.272
17945	мороз	NEUT	0.657	0.513	0.144
17946	морозец	NEUT	0.716	0.55	0.166
17951	морозный	NEUT	0.663	0.545	0.118
17979	москитный	NEUT	0.682	0.584	0.098
17980	москиты	NGTV	0.695	0.527	0.168
18118	мулине	NEUT	0.683	0.51	0.173
18146	мурашки	NEUT	0.672	0.57	0.102
18148	мурлыкание	PSTV	0.73	0.509	0.221
18149	мурлыканье	PSTV	0.723	0.51	0.213
18150	мурлыкать	PSTV	0.791	0.533	0.258
18241	мышка	NEUT	0.708	0.465	0.243
18243	мышонок	PSTV	0.711	0.485	0.226
18247	мэм	NEUT	0.665	0.55	0.115
18284	мяуканье	NEUT	0.651	0.478	0.173
18285	мяукать	NEUT	0.739	0.487	0.252
18286	мяукнуть	NEUT	0.737	0.496	0.241
18288	мячик	NEUT	0.707	0.473	0.234
18291	мёрзнуть	NGTV	0.729	0.543	0.186
18297	набегаться	NEUT	0.659	0.509	0.15
18344	набухание	NEUT	0.677	0.561	0.116
18346	набухнуть	NGTV	0.687	0.52	0.167
18500	нагреться	NEUT	0.681	0.493	0.188
18520	нагуляться	NEUT	0.676	0.425	0.251
18523	надавливание	NGTV	0.668	0.553	0.115
18556	надзирательница	NGTV	0.7	0.413	0.287
18610	надсмотрщица	NGTV	0.7	0.394	0.306
18632	надышаться	NEUT	0.749	0.522	0.227
18879	наложница	NGTV	0.677	0.485	0.192
18986	напевать	PSTV	0.685	0.581	0.104
18989	наперебой	NEUT	0.699	0.481	0.218
19028	наплодить	NGTV	0.698	0.437	0.261
19157	наркоманка	NGTV	0.651	0.494	0.157
19235	насвистывание	NEUT	0.704	0.61	0.094
19236	насвистывать	NEUT	0.758	0.579	0.179
19464	натурщица	NEUT	0.657	0.536	0.121
19630	наэлектризоваться	NEUT	0.684	0.544	0.14
19688	небо	NEUT	0.7	0.427	0.273
19693	небожительница	NEUT	0.65	0.492	0.158
19696	небосвод	NEUT	0.711	0.467	0.244
19697	небосклон	NEUT	0.735	0.475	0.26
19787	невольница	NGTV	0.663	0.447	0.216
19976	недоспать	NGTV	0.668	0.359	0.309
20031	неженка	NGTV	0.66	0.415	0.245
20489	непогода	NGTV	0.678	0.498	0.18
20490	непогодь	NGTV	0.673	0.554	0.119
20936	несушка	NEUT	0.678	0.507	0.171
21285	новолуние	NEUT	0.693	0.595	0.098
21289	новорождённая	PSTV	0.684	0.522	0.162
21291	новоселье	PSTV	0.716	0.602	0.114
21332	норд-вест	NEUT	0.659	0.525	0.134
21334	норка	NEUT	0.67	0.527	0.143
21360	носительница	NEUT	0.704	0.549	0.155
21361	носить	NEUT	0.684	0.464	0.22
21366	носочек	PSTV	0.682	0.579	0.103
21379	ночка	NEUT	0.686	0.549	0.137
21384	ночник	NEUT	0.674	0.506	0.168
21385	ночничок	NEUT	0.78	0.498	0.282
21387	ночнушка	NEUT	0.747	0.503	0.244
21389	ночёвка	NEUT	0.718	0.621	0.097
21396	нравиться	PSTV	0.688	0.515	0.173
21428	ныряльщица	NEUT	0.719	0.445	0.274
21440	нюхать	NEUT	0.708	0.608	0.1
21442	нюхнуть	NEUT	0.663	0.521	0.142
21444	нянчить	NEUT	0.762	0.521	0.241
21445	нянчиться	NEUT	0.693	0.549	0.144
21452	оазис	PSTV	0.673	0.581	0.092
21507	обволакивать	NEUT	0.703	0.509	0.194
21508	обволакиваться	NEUT	0.657	0.534	0.123
21526	обгладывать	NEUT	0.67	0.468	0.202
21548	обдувать	NEUT	0.661	0.553	0.108
21726	обиталище	NEUT	0.732	0.497	0.235
21729	обитательница	NEUT	0.717	0.572	0.145
21765	облако	NEUT	0.728	0.515	0.213
21780	облачко	PSTV	0.676	0.557	0.119
21781	облачность	NEUT	0.662	0.533	0.129
21803	облететь	NEUT	0.731	0.606	0.125
21814	облизывать	NEUT	0.684	0.537	0.147
21903	обморозиться	NGTV	0.659	0.541	0.118
21943	обнимание	PSTV	0.682	0.549	0.133
21944	обнимать	PSTV	0.652	0.528	0.124
21945	обниматься	PSTV	0.677	0.486	0.191
21985	обогревание	PSTV	0.655	0.541	0.114
21986	обогреватель	NEUT	0.668	0.497	0.171
21988	обогревать	PSTV	0.702	0.542	0.16
21989	обогреваться	PSTV	0.71	0.564	0.146
21990	обогреть	PSTV	0.729	0.487	0.242
21991	обогреться	PSTV	0.721	0.479	0.242
22178	обручить	PSTV	0.674	0.538	0.136
22215	обсохнуть	NEUT	0.693	0.52	0.173
22242	обсушиться	NEUT	0.659	0.502	0.157
22252	обсыхать	NEUT	0.669	0.561	0.108
22475	овечка	PSTV	0.71	0.476	0.234
22501	овчинка	NEUT	0.66	0.493	0.167
22517	оглушающе	NGTV	0.684	0.425	0.259
22647	одеялко	PSTV	0.714	0.401	0.313
22648	одеяло	PSTV	0.749	0.37	0.379
22649	одеяльце	PSTV	0.709	0.394	0.315
22768	одурманивать	NGTV	0.689	0.578	0.111
22789	ожерелье	NEUT	0.652	0.559	0.093
22827	озарять	PSTV	0.678	0.527	0.151
22846	озерцо	NEUT	0.672	0.492	0.18
22875	озорница	PSTV	0.662	0.467	0.195
22910	океанариум	NEUT	0.67	0.482	0.188
22982	окоченеть	NGTV	0.687	0.567	0.12
23031	октябрёнок	PSTV	0.73	0.506	0.224
23032	окукливаться	NEUT	0.704	0.541	0.163
23066	оленёнок	PSTV	0.686	0.562	0.124
23085	омар	NEUT	0.68	0.567	0.113
23147	опекать	PSTV	0.727	0.624	0.103
23379	опьянеть	NGTV	0.702	0.547	0.155
23382	опьяняюще	NEUT	0.725	0.391	0.334
23385	опёнок	NEUT	0.672	0.566	0.106
23393	оранжерея	NEUT	0.676	0.57	0.106
23507	освежаться	PSTV	0.662	0.506	0.156
23508	освежающе	PSTV	0.684	0.313	0.371
23509	освежевать	NEUT	0.738	0.488	0.25
23514	освежиться	PSTV	0.697	0.456	0.241
23619	ослепнуть	NGTV	0.652	0.535	0.117
23622	ослица	NEUT	0.682	0.585	0.097
23806	отапливать	PSTV	0.673	0.544	0.129
23982	отгулять	NEUT	0.685	0.561	0.124
23983	отгуляться	NEUT	0.69	0.517	0.173
24012	отдохнуть	PSTV	0.693	0.549	0.144
24018	отдыхать	PSTV	0.697	0.562	0.135
24038	отжевать	NGTV	0.684	0.575	0.109
24153	открытие	PSTV	0.684	0.56	0.124
24201	отлить	NEUT	0.667	0.556	0.111
24327	отогревать	PSTV	0.72	0.466	0.254
24328	отогреваться	PSTV	0.706	0.504	0.202
24329	отогреть	PSTV	0.682	0.448	0.234
24330	отогреться	PSTV	0.692	0.478	0.214
24353	отоспаться	PSTV	0.702	0.471	0.231
24412	отпраздновать	PSTV	0.697	0.526	0.171
24477	отрезвляюще	PSTV	0.666	0.418	0.248
24649	отсыпаться	PSTV	0.664	0.523	0.141
24721	отхаркивающее	NGTV	0.683	0.55	0.133
24795	отшельница	NGTV	0.676	0.466	0.21
24904	охотница	NEUT	0.66	0.46	0.2
24911	охранительница	PSTV	0.704	0.478	0.226
24948	очароваться	PSTV	0.662	0.57	0.092
25005	ошейник	NEUT	0.67	0.546	0.124
25024	ошпариться	NGTV	0.7	0.557	0.143
25072	пакетик	NEUT	0.659	0.551	0.108
25082	палатка	NEUT	0.683	0.459	0.224
25083	палаточка	NEUT	0.701	0.514	0.187
25106	пальма	NEUT	0.682	0.572	0.11
25155	пансионат	NEUT	0.7	0.468	0.232
25223	парашютистка	NEUT	0.662	0.355	0.307
25231	парижанка	NEUT	0.69	0.492	0.198
25241	парить	NEUT	0.666	0.509	0.157
25244	парк	PSTV	0.65	0.549	0.101
25286	пароходишко	NEUT	0.691	0.524	0.167
25308	парусник	NEUT	0.694	0.581	0.113
25406	паучиха	NEUT	0.656	0.53	0.126
25408	паучок	NEUT	0.699	0.555	0.144
25424	пациентка	NEUT	0.699	0.546	0.153
25487	пеленать	NEUT	0.697	0.513	0.184
25488	пеликан	NEUT	0.732	0.571	0.161
25490	пелёнка	NEUT	0.701	0.583	0.118
25548	первокурсница	NEUT	0.65	0.467	0.183
25774	передничек	NEUT	0.656	0.562	0.094
25975	переливание	NEUT	0.669	0.549	0.12
25977	переливаться	NEUT	0.744	0.576	0.168
25983	перелиться	NEUT	0.681	0.537	0.144
25996	перелёт	NEUT	0.739	0.623	0.116
26073	перенос	NEUT	0.672	0.562	0.11
26080	переносчик	NEUT	0.707	0.538	0.169
26081	переночевать	NEUT	0.653	0.546	0.107
26271	пересвистываться	NEUT	0.672	0.571	0.101
26483	перина	NEUT	0.734	0.405	0.329
26510	персик	PSTV	0.698	0.555	0.143
26553	песочек	NEUT	0.65	0.55	0.1
26562	пессимистка	NGTV	0.67	0.297	0.373
26572	песчинка	NEUT	0.682	0.499	0.183
26608	печенье	PSTV	0.671	0.495	0.176
26624	пешочком	NEUT	0.651	0.41	0.241
26635	пианистка	NEUT	0.687	0.55	0.137
26661	пижама	NEUT	0.687	0.358	0.329
26662	пижамный	NEUT	0.688	0.409	0.279
26676	пикник	PSTV	0.74	0.471	0.269
26681	пила	NEUT	0.716	0.444	0.272
26702	пинг-понг	NEUT	0.694	0.522	0.172
26703	пингвин	PSTV	0.694	0.473	0.221
26704	пингвины	PSTV	0.685	0.431	0.254
26707	пион	PSTV	0.678	0.575	0.103
26714	пипетка	NEUT	0.651	0.478	0.173
26731	пирс	NEUT	0.68	0.572	0.108
26733	пирушка	PSTV	0.703	0.568	0.135
26735	пиршество	PSTV	0.746	0.534	0.212
26768	пися	NEUT	0.654	0.543	0.111
26774	питбуль	NEUT	0.697	0.578	0.119
26780	питомец	PSTV	0.692	0.546	0.146
26781	питомица	NEUT	0.738	0.487	0.251
26782	питомник	PSTV	0.689	0.547	0.142
26783	питон	NEUT	0.696	0.545	0.151
26786	питьё	NEUT	0.657	0.514	0.143
26795	пишмашинка	NEUT	0.68	0.484	0.196
26834	плакса	NGTV	0.68	0.569	0.111
26839	пламенеть	NEUT	0.768	0.594	0.174
26896	платье	NEUT	0.65	0.488	0.162
26897	платьице	NEUT	0.725	0.462	0.263
26898	платьишко	NEUT	0.656	0.481	0.175
26928	плед	NEUT	0.724	0.4	0.324
26947	пленница	NGTV	0.66	0.454	0.206
27056	плюшевый	PSTV	0.686	0.499	0.187
27060	пляж	NEUT	0.664	0.467	0.197
27091	по-венгерски	NEUT	0.685	0.408	0.277
27103	по-голландски	NEUT	0.654	0.437	0.217
27137	по-китайски	NEUT	0.654	0.451	0.203
27192	по-персидски	NEUT	0.668	0.44	0.228
27197	по-польски	NEUT	0.653	0.447	0.206
27277	побаловать	PSTV	0.706	0.49	0.216
27278	побаловаться	NEUT	0.666	0.489	0.177
27338	побродить	NEUT	0.76	0.517	0.243
27340	побрызгать	NEUT	0.727	0.568	0.159
27350	побулькивать	NEUT	0.726	0.467	0.259
27381	повелительница	NEUT	0.667	0.513	0.154
27405	повеселиться	PSTV	0.692	0.561	0.131
27426	повизгивать	NGTV	0.674	0.57	0.104
27443	поводок	NEUT	0.715	0.555	0.16
27501	повылезать	NEUT	0.692	0.485	0.207
27520	погадать	NEUT	0.663	0.557	0.106
27534	погладить	PSTV	0.701	0.488	0.213
27535	поглаживание	PSTV	0.712	0.49	0.222
27536	поглаживать	PSTV	0.731	0.585	0.146
27595	погреть	PSTV	0.757	0.409	0.348
27596	погреться	PSTV	0.713	0.461	0.252
27639	подарить	PSTV	0.743	0.498	0.245
27640	подарок	PSTV	0.714	0.5	0.214
27641	подарочек	PSTV	0.768	0.49	0.278
27730	подвыпить	NGTV	0.652	0.552	0.1
27772	подгузник	NEUT	0.674	0.441	0.233
27773	подгулять	NGTV	0.664	0.51	0.154
27818	подержать	NEUT	0.677	0.564	0.113
27819	подержаться	NEUT	0.663	0.541	0.122
27827	поджариться	NEUT	0.66	0.569	0.091
27868	подкармливать	PSTV	0.67	0.439	0.231
27922	подкормить	PSTV	0.664	0.443	0.221
28044	поднебесье	NEUT	0.69	0.447	0.243
28131	подпевала	NGTV	0.652	0.435	0.217
28212	подремать	NEUT	0.682	0.572	0.11
28255	подсвечивать	NEUT	0.667	0.574	0.093
28381	подсыхать	NEUT	0.696	0.598	0.098
28382	подсюсюкивать	NGTV	0.694	0.559	0.135
28438	подушечка	PSTV	0.712	0.493	0.219
28439	подушка	NEUT	0.668	0.39	0.278
28510	подышать	NEUT	0.703	0.558	0.145
28519	поезд	NEUT	0.669	0.564	0.105
28520	поездить	NEUT	0.757	0.497	0.26
28521	поездка	NEUT	0.738	0.519	0.219
28523	поездочка	NEUT	0.664	0.515	0.149
28526	поехать	NEUT	0.664	0.532	0.132
28541	пожевать	NEUT	0.692	0.557	0.135
28558	пожирательница	NGTV	0.669	0.558	0.111
28574	позавтракать	PSTV	0.664	0.529	0.135
28577	позагорать	PSTV	0.716	0.486	0.23
28579	позаниматься	NEUT	0.673	0.448	0.225
28582	позариться	NGTV	0.662	0.547	0.115
28607	поздравить	PSTV	0.695	0.506	0.189
28609	поздравлять	PSTV	0.679	0.489	0.19
28615	позировать	NEUT	0.663	0.517	0.146
28650	поиграть	PSTV	0.667	0.531	0.136
28655	поилка	NEUT	0.665	0.419	0.246
28666	поить	NEUT	0.669	0.514	0.155
28685	покалывание	NEUT	0.688	0.556	0.132
28686	покалывать	NGTV	0.712	0.573	0.139
28694	покататься	NEUT	0.736	0.526	0.21
28696	покатиться	NEUT	0.671	0.568	0.103
28702	покачивание	NEUT	0.666	0.528	0.138
28703	покачивать	NEUT	0.678	0.561	0.117
28726	поклевать	NEUT	0.716	0.547	0.169
28743	покой	NEUT	0.716	0.571	0.145
28749	поколдовать	NEUT	0.662	0.571	0.091
28753	поколесить	NEUT	0.68	0.544	0.136
28762	покорительница	NEUT	0.681	0.491	0.19
28810	покрывало	NEUT	0.701	0.472	0.229
28821	покряхтеть	NEUT	0.678	0.502	0.176
28824	покувыркаться	NEUT	0.703	0.588	0.115
28839	покусать	NGTV	0.735	0.573	0.162
28840	покуситься	NGTV	0.733	0.559	0.174
28841	покусывание	NEUT	0.729	0.568	0.161
28842	покусывать	NEUT	0.734	0.509	0.225
28852	полакомить	PSTV	0.701	0.472	0.229
28867	полежать	NEUT	0.692	0.553	0.139
28878	полетать	NEUT	0.731	0.498	0.233
28879	полететь	NEUT	0.689	0.531	0.158
28886	ползунок	NEUT	0.691	0.562	0.129
28965	полнолуние	NEUT	0.725	0.575	0.15
29070	полулежать	NEUT	0.671	0.574	0.097
29085	полуночница	NEUT	0.712	0.371	0.341
29186	полюбиться	PSTV	0.681	0.543	0.138
29229	померкнуть	NGTV	0.651	0.56	0.091
29236	поместье	NEUT	0.652	0.559	0.093
29244	помечтать	PSTV	0.712	0.513	0.199
29250	помешкать	NGTV	0.69	0.559	0.131
29276	помногу	NEUT	0.693	0.399	0.294
29308	помпон	NEUT	0.688	0.518	0.17
29309	помпончик	NEUT	0.674	0.524	0.15
29340	помёрзнуть	NGTV	0.686	0.546	0.14
29358	понежиться	PSTV	0.758	0.49	0.268
29360	понемножечку	NEUT	0.696	0.605	0.091
29361	понемножку	NEUT	0.712	0.557	0.155
29365	пони	PSTV	0.684	0.373	0.311
29378	поносить	NGTV	0.689	0.501	0.188
29388	пончик	PSTV	0.665	0.539	0.126
29393	понюхать	NEUT	0.762	0.535	0.227
29409	поодиночке	NEUT	0.652	0.486	0.166
29416	поохотиться	NEUT	0.714	0.557	0.157
29432	попариться	NEUT	0.668	0.547	0.121
29445	поперхнуться	NGTV	0.679	0.528	0.151
29447	попеть	PSTV	0.683	0.493	0.19
29450	попечительница	NEUT	0.672	0.519	0.153
29464	поплавать	NEUT	0.728	0.507	0.221
29467	поплакать	NGTV	0.688	0.593	0.095
29474	поплотнеть	NEUT	0.662	0.528	0.134
29478	поплясывать	PSTV	0.655	0.548	0.107
29480	попоить	NEUT	0.674	0.515	0.159
29509	попраздновать	PSTV	0.728	0.527	0.201
29531	попугайчик	PSTV	0.733	0.588	0.145
29558	попыхтеть	NEUT	0.706	0.61	0.096
29579	поразвлечься	PSTV	0.718	0.544	0.174
29602	порезвиться	PSTV	0.669	0.559	0.11
29608	порисовать	NEUT	0.724	0.524	0.2
29609	порисоваться	NGTV	0.727	0.555	0.172
29636	поросёнок	NEUT	0.659	0.516	0.143
29727	посапывание	NEUT	0.698	0.449	0.249
29729	посасывать	NEUT	0.705	0.534	0.171
29738	посветлеть	PSTV	0.721	0.592	0.129
29739	посвистеть	NEUT	0.681	0.571	0.11
29740	посвистывание	NEUT	0.657	0.554	0.103
29741	посвистывать	NEUT	0.723	0.557	0.166
29753	поселить	NEUT	0.658	0.517	0.141
29767	посетительница	NEUT	0.682	0.499	0.183
29782	поскальзываться	NGTV	0.699	0.604	0.095
29802	посланница	NEUT	0.664	0.476	0.188
29840	послушный	PSTV	0.715	0.603	0.112
29844	посмаковать	PSTV	0.662	0.535	0.127
29870	пососать	NEUT	0.662	0.571	0.091
29874	поспать	PSTV	0.677	0.552	0.125
29910	постанывание	NEUT	0.659	0.536	0.123
29915	постелить	NEUT	0.663	0.489	0.174
29916	постель	NEUT	0.672	0.536	0.136
29917	постелька	PSTV	0.708	0.488	0.22
29939	постоялица	NEUT	0.666	0.465	0.201
30011	потанцевать	PSTV	0.752	0.587	0.165
30027	потеплеть	PSTV	0.716	0.518	0.198
30109	потрогать	NEUT	0.716	0.529	0.187
30139	потягивание	NEUT	0.688	0.548	0.14
30140	потягивать	NEUT	0.704	0.598	0.106
30151	поугорать	PSTV	0.693	0.494	0.199
30152	поужинать	NEUT	0.656	0.543	0.113
30162	поухаживать	PSTV	0.701	0.575	0.126
30198	похитительница	NGTV	0.68	0.55	0.13
30224	похолодать	NEUT	0.693	0.498	0.195
30225	похолодеть	NGTV	0.673	0.482	0.191
30286	почмокать	NEUT	0.661	0.529	0.132
30302	почувствоваться	NEUT	0.655	0.537	0.118
30368	поэтически	PSTV	0.65	0.419	0.231
30387	поёрзать	NEUT	0.655	0.544	0.111
30445	празднество	PSTV	0.733	0.558	0.175
30447	праздничек	PSTV	0.72	0.567	0.153
30451	праздновать	PSTV	0.67	0.54	0.13
30668	предсказательница	NEUT	0.755	0.481	0.274
30735	презент	PSTV	0.718	0.537	0.181
30739	презентовать	NEUT	0.694	0.456	0.238
30951	прехладнокровно	NGTV	0.695	0.338	0.357
30959	прибавление	PSTV	0.655	0.55	0.105
31040	прививочный	NEUT	0.666	0.541	0.125
31092	привязаться	NEUT	0.728	0.477	0.251
31096	привязывать	NEUT	0.69	0.475	0.215
31106	пригласительный	PSTV	0.65	0.537	0.113
31152	пригревать	PSTV	0.757	0.605	0.152
31154	пригреть	PSTV	0.745	0.518	0.227
31156	пригубить	NGTV	0.676	0.573	0.103
31197	приезд	NEUT	0.687	0.592	0.095
31265	прикармливать	PSTV	0.667	0.458	0.209
31267	прикасание	NEUT	0.653	0.555	0.098
31293	приключение	PSTV	0.652	0.534	0.118
31307	прикорм	PSTV	0.716	0.467	0.249
31312	прикорнуть	NEUT	0.717	0.56	0.157
31313	прикосновение	NEUT	0.707	0.575	0.132
31452	примёрзнуть	NGTV	0.654	0.558	0.096
31566	приплясывать	PSTV	0.699	0.56	0.139
31569	приподнятость	PSTV	0.658	0.549	0.109
31619	приручать	PSTV	0.677	0.431	0.246
31620	приручаться	NEUT	0.67	0.454	0.216
31622	приручить	PSTV	0.652	0.441	0.211
31655	прислужница	NEUT	0.685	0.494	0.191
31707	пристанище	NEUT	0.663	0.537	0.126
31820	притянуться	NEUT	0.67	0.515	0.155
31925	причёсывать	NEUT	0.665	0.559	0.106
31959	приютить	PSTV	0.759	0.531	0.228
31960	приютиться	PSTV	0.665	0.526	0.139
32071	проветриться	NEUT	0.689	0.554	0.135
32076	провидица	NEUT	0.688	0.51	0.178
32188	прогреться	PSTV	0.672	0.527	0.145
32195	прогуливать	NGTV	0.719	0.563	0.156
32196	прогуливаться	PSTV	0.711	0.553	0.158
32197	прогулка	PSTV	0.703	0.528	0.175
32201	прогульщица	NGTV	0.701	0.396	0.305
32231	продефилировать	NEUT	0.729	0.593	0.136
32241	продлёнка	NEUT	0.688	0.592	0.096
32261	продрогнуть	NGTV	0.747	0.444	0.303
32262	продрыхнуть	NGTV	0.701	0.536	0.165
32301	проехаться	NEUT	0.679	0.571	0.108
32411	прокатиться	NEUT	0.718	0.608	0.11
32414	прокатывать	NEUT	0.673	0.567	0.106
32415	прокатываться	NEUT	0.699	0.482	0.217
32525	промелькнуть	NEUT	0.698	0.571	0.127
32536	промозглость	NGTV	0.697	0.546	0.151
32540	промокать	NGTV	0.674	0.573	0.101
32542	промокнуть	NGTV	0.673	0.52	0.153
32640	прописать	NEUT	0.662	0.566	0.096
32644	прописывать	NEUT	0.696	0.514	0.182
32684	пропотеть	NEUT	0.707	0.498	0.209
32730	прорицательница	NEUT	0.772	0.506	0.266
32741	пророчица	NEUT	0.659	0.554	0.105
32796	просительница	NEUT	0.667	0.403	0.264
32915	простынка	NEUT	0.659	0.56	0.099
32933	просыхать	NEUT	0.686	0.484	0.202
33112	прохлада	NEUT	0.67	0.49	0.18
33226	прудик	NEUT	0.715	0.592	0.123
33288	прятки	NEUT	0.685	0.511	0.174
33342	пташечка	PSTV	0.679	0.542	0.137
33343	пташка	PSTV	0.664	0.545	0.119
33353	птицеферма	NEUT	0.687	0.572	0.115
33355	птичка	PSTV	0.656	0.562	0.094
33381	пудель	NEUT	0.69	0.49	0.2
33382	пудинг	PSTV	0.766	0.478	0.288
33384	пудра	NEUT	0.655	0.553	0.102
33385	пудреница	NEUT	0.654	0.536	0.118
33387	пудрить	NEUT	0.698	0.601	0.097
33388	пудриться	NEUT	0.71	0.588	0.122
33391	пузико	PSTV	0.723	0.531	0.192
33400	пузырёчек	NEUT	0.68	0.537	0.143
33402	пукан	NGTV	0.72	0.512	0.208
33418	пульсировать	NEUT	0.737	0.589	0.148
33431	пунш	NEUT	0.692	0.517	0.175
33432	пуп	NEUT	0.663	0.515	0.148
33436	пупс	PSTV	0.692	0.523	0.169
33437	пупсик	PSTV	0.664	0.498	0.166
33439	пупырышек	NEUT	0.688	0.369	0.319
33487	путеводитель	NEUT	0.652	0.537	0.115
33492	путешественница	PSTV	0.758	0.351	0.407
33493	путешествие	PSTV	0.771	0.518	0.253
33494	путешествовать	PSTV	0.679	0.519	0.16
33501	путёвка	PSTV	0.672	0.577	0.095
33504	пуфик	NEUT	0.666	0.487	0.179
33511	пуховик	NEUT	0.67	0.416	0.254
33512	пуховичок	PSTV	0.746	0.456	0.29
33520	пучочек	NEUT	0.715	0.572	0.143
33523	пушинка	NEUT	0.735	0.458	0.277
33524	пушистик	PSTV	0.702	0.435	0.267
33525	пушистость	PSTV	0.727	0.514	0.213
33527	пушиться	NEUT	0.694	0.535	0.159
33531	пушок	PSTV	0.691	0.551	0.14
33534	пчела	NEUT	0.668	0.556	0.112
33538	пчёлка	PSTV	0.731	0.563	0.168
33648	пёрышко	NEUT	0.703	0.546	0.157
33680	рабыня	NGTV	0.693	0.411	0.282
33804	радужность	PSTV	0.66	0.557	0.103
33859	разбрасывать	NGTV	0.66	0.398	0.262
33860	разбрасываться	NGTV	0.696	0.519	0.177
33865	разбросать	NGTV	0.652	0.442	0.21
33866	разбросаться	NGTV	0.656	0.565	0.091
33915	развеивать	NEUT	0.655	0.474	0.181
33926	развесить	NEUT	0.755	0.394	0.361
33933	развешать	NEUT	0.706	0.443	0.263
33934	развешивание	NEUT	0.671	0.531	0.14
33935	развешивать	NEUT	0.743	0.435	0.308
33936	развешиваться	NEUT	0.711	0.443	0.268
33937	развеять	NEUT	0.652	0.499	0.153
33938	развеяться	PSTV	0.7	0.476	0.224
34051	разгорячиться	NGTV	0.66	0.563	0.097
34074	разгуливать	NEUT	0.705	0.522	0.183
34077	раздавать	NEUT	0.67	0.563	0.107
34085	раздать	NEUT	0.694	0.494	0.2
34108	разделить	NEUT	0.678	0.509	0.169
34131	раздолье	PSTV	0.665	0.497	0.168
34138	раздражающе	NGTV	0.659	0.456	0.203
34208	разлезться	NGTV	0.698	0.539	0.159
34213	разлетаться	NEUT	0.673	0.558	0.115
34214	разлететься	NEUT	0.661	0.558	0.103
34244	разлучать	NGTV	0.698	0.474	0.224
34245	разлучаться	NGTV	0.711	0.474	0.237
34248	разлучиться	NGTV	0.671	0.513	0.158
34295	размечтаться	NEUT	0.696	0.465	0.231
34307	размножать	NEUT	0.654	0.446	0.208
34398	разноцветный	NEUT	0.673	0.506	0.167
34399	разноцветье	NEUT	0.728	0.54	0.188
34468	разоспаться	NGTV	0.69	0.511	0.179
34491	разреветься	NGTV	0.689	0.524	0.165
34511	разрисовать	NEUT	0.663	0.513	0.15
34529	разрушительница	NGTV	0.667	0.484	0.183
34572	разумница	PSTV	0.662	0.447	0.215
34592	разъезжать	NEUT	0.662	0.515	0.147
34616	рай	PSTV	0.662	0.529	0.133
34633	ракетоносец	NEUT	0.681	0.514	0.167
34749	раскраивать	NEUT	0.685	0.545	0.14
34750	раскрасавица	PSTV	0.686	0.465	0.221
34751	раскрасить	PSTV	0.695	0.51	0.185
34756	раскрашивать	NEUT	0.711	0.506	0.205
34906	распорядительница	NEUT	0.655	0.419	0.236
34954	распускание	NEUT	0.729	0.582	0.147
35009	рассекаться	NEUT	0.658	0.495	0.163
35019	рассесться	NEUT	0.668	0.516	0.152
35044	расслабляться	PSTV	0.67	0.57	0.1
35045	расслабляюще	PSTV	0.746	0.401	0.345
